書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/12/978-4-12-004356-7.htm"",""われ敗れたり コンピュータ棋戦のすべてを語る"")"	B			2012年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4139-0.htm"",""マイナビ将棋BOOKS 対矢倉 左美濃作戦"")"	A	四間飛車, 居飛車		2012年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/331/978-4-331-51603-4.htm"",""チャレンジシリーズ 一番わかりやすくて面白い！ 詰将棋ドリル(2) 1手詰初・中級編 10級から1級にレベルアップ 飛躍の274問！"")"	B			2012年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-033-5.htm"",""最強将棋21 ゴキゲン中飛車の急所"")"	A	居飛車, 振り飛車, 中飛車		2011年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/904808/978-4-904808-03-0.htm"",""久保利明の最強振り飛車戦略 角交換振り飛車の久保システム"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2011年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4116-1.htm"",""マイナビ将棋BOOKS よくわかる横歩取り"")"	A	横歩取り		2011年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88574/978-4-88574-433-4.htm"",""新 将棋は歩から"")"	B	居飛車	羽生善治	2011年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75126-9.htm"",""将棋パワーアップシリーズ 9手詰将棋"")"	A	角換わり, 居飛車, 横歩取り		2011年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88574/4-88574-411-3.htm"",""将棋は歩から 下巻"")"	A			1970年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88574/4-88574-410-5.htm"",""将棋は歩から 中巻"")"	S	角換わり, 中飛車, 横歩取り		1970年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88574/4-88574-409-1.htm"",""将棋は歩から 上巻"")"	A	居飛車, 角換わり, 中飛車, 四間飛車		1970年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4081-2.htm"",""マイナビ将棋BOOKS 橋本流 中終盤 急所の一手"")"	B	四間飛車, 居飛車, 振り飛車, 角換わり, 横歩取り, 中飛車		2011年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4094-2.htm"",""マイナビ将棋BOOKS よくわかる四間飛車"")"	A	四間飛車, 振り飛車, 居飛車, 中飛車		2011年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75136-8.htm"",""将棋最強ブックス 勝てる棒銀戦法"")"	B	四間飛車, 角換わり, 振り飛車, 居飛車		2011年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/05/4-05-102695-7.htm"",""シミュレーション将棋ブックス 王位と誌上対戦！ 谷川浩司の実戦将棋道場 ＜応用編＞ 無敵！四間飛車戦法 キミは谷川王位に勝てるか！"")"	B	四間飛車, 居飛車, 振り飛車		1988年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/537/4-537-00216-6.htm"",""将棋−負けない指し方 本気で強くなりたい人のための 格言で覚える実戦手筋のすべて"")"	B			1985年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/05/4-05-102694-9.htm"",""シミュレーション将棋ブックス 王位と誌上対戦！ 谷川浩司の実戦将棋道場 ＜入門編＞ 強腕！穴熊戦 キミは谷川王位に勝てるか！"")"	B	振り飛車, 居飛車		1988年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4075-1.htm"",""マイナビ将棋BOOKS よくわかる相振り飛車"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2011年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04646-0.htm"",""これだけできれば 将棋初段 （初段・1級の問題）"")"	B	角換わり, 中飛車	田中寅彦	1992年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3986-1.htm"",""プロ最前線シリーズ 最新の振り飛車対策"")"	B	中飛車, 振り飛車		2011年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04648-7.htm"",""これだけできれば 将棋二級 （2･3･4級の問題）"")"	B		田中寅彦	1992年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4045-4.htm"",""南の右玉 MINAMI'S MIGIGYOKU"")"	C	四間飛車, 居飛車, 振り飛車		2011年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/331/978-4-331-51575-4.htm"",""チャレンジシリーズ 一番わかりやすくて面白い！ 詰将棋ドリル(1) 1手詰入門編 例題＆ドリルで勝てる実戦的300問！"")"	B			2011年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04707-6.htm"",""将棋段級模擬テスト 七・八級問題集"")"	B	居飛車		1979年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3987-8.htm"",""マイコミ将棋BOOKS 速攻！ゴキゲン中飛車破り"")"	A	居飛車, 中飛車		2011年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75135-1.htm"",""将棋最強ブックス 速攻振り飛車大全"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2011年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04706-8.htm"",""将棋段級模擬テスト 九・十級問題集"")"	B			1979年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4015-7.htm"",""マイコミ将棋BOOKS よくわかる角交換振り飛車"")"	B	四間飛車, 居飛車, 振り飛車, 横歩取り, 中飛車		2011年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75134-4.htm"",""将棋最強ブックス 超急戦横歩取り"")"	B	横歩取り		2011年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-98235-3055.htm"",""将棋ポケット文庫(134) 将棋 段・級試験問題正解"")"	C			1957年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3985-4.htm"",""マイコミ将棋BOOKS よくわかる角換わり"")"	A	四間飛車, 角換わり, 振り飛車, 居飛車		2011年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016192-0.htm"",""NHK将棋シリーズ 棒銀と中飛車で駒落ちを勝て！"")"	A	中飛車		2011年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-98236-3055.htm"",""将棋ポケット文庫 将棋手筋百題"")"	B			1956年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/16/4-16-340480-5.htm"",""対決 <熱闘七番>"")"	B	四間飛車, 居飛車		1986年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/16/4-16-340160-1.htm"",""対決 <青春七番>"")"	B	四間飛車, 横歩取り, 居飛車, 三間飛車		1985年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3920-5.htm"",""マイコミ将棋BOOKS 早分かり 中飛車定跡ガイド"")"	A	振り飛車, 中飛車		2011年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/381/4-381-10352-1.htm"",""マンガでおぼえる将棋入門 はじめてでもすぐ指せるようになる！"")"	B			2000年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/569/978-4-569-79445-7.htm"",""はじめてでも勝てる将棋入門 60分でわかる！"")"	A	四間飛車, 中飛車		2011年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3919-9.htm"",""マイコミ将棋BOOKS 戸辺流現代振り飛車手筋集"")"	A	居飛車, 中飛車, 振り飛車		2011年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75062-3.htm"",""初段に挑戦するシリーズ(12) 振り飛車破り 振り飛車なんかこわくない！"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		1986年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3927-4.htm"",""マイコミ将棋文庫SP 将棋 絶対手筋180 勝つために必要な将棋の鉄則"")"	B	角換わり, 中飛車, 横歩取り	渡辺明	2011年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0200/0200-011293-7617.htm"",""ベストセラーシリーズ〈ワニの本〉 ヘボ将棋に強い (1) はめ手入門"")"	B	中飛車, 横歩取り		1976年10月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/4-14-016095-0.htm"",""コミック！将棋入門"")"	C	居飛車, 中飛車		2001年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75151-1.htm"",""マンガでおぼえる棒銀戦法 この本を読めば、友だちに勝てる！"")"	B			2011年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3895-6.htm"",""マイコミ将棋BOOKS よくわかる振り飛車穴熊"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2011年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-031-1.htm"",""7手詰ハンドブック"")"	A		出版社	2011年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86095/978-4-86095-458-1.htm"",""出だし4手で知る 石橋幸緒の将棋レシピ 知ると、もっと楽しくなる将棋・序盤の指し方"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2011年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3162-9.htm"",""マイコミ将棋BOOKS 戸辺流相振りなんでも三間飛車"")"	A	四間飛車, 中飛車, 振り飛車, 三間飛車		2009年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89644/978-4-89644-764-4.htm"",""SUN-MAGAZINE MOOK 名人直伝 これぞ実力UPの近道 羽生の三手詰 三手の読みで集中力・持続力・判断力を鍛えよう！"")"	B		羽生善治	2011年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-2157-1.htm"",""MYCOM将棋ブックス 神戸発 珍戦法で行こう"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2006年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8069/978-4-8069-1108-1.htm"",""マンガで覚える図解 将棋の基本"")"	E	三間飛車, 振り飛車, 居飛車, 横歩取り	矢内理絵子	2009年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3855-0.htm"",""マイコミ将棋BOOKS 西川流振り飛車 居飛車穴熊破り"")"	B	居飛車, 振り飛車, 横歩取り, 三間飛車, 中飛車		2011年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/528/4-528-00472-0.htm"",""初心者のための大内延介の将棋必勝定跡"")"	B	四間飛車, 居飛車, 振り飛車, 角換わり, 横歩取り, 三間飛車, 中飛車		1994年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/522/4-522-01233-0.htm"",""将棋入門シリーズ(21) やさしい将棋の手筋 初心者のための基本手筋集"")"	B			1978年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1209-2.htm"",""東大将棋ブックス 矢倉道場 第五巻 森下システム"")"	A			2003年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-039-0.htm"",""王将ブックス ポケット版 ─ ハメ手シリーズ�W 振飛車破りの棒銀"")"	C	四間飛車, 居飛車, 中飛車, 三間飛車		出版年月不明	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75108-5.htm"",""スーパー将棋講座 右四間飛車戦法 【四間飛車破りの決定版！】"")"	B	四間飛車, 居飛車		2007年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-067-6.htm"",""王将ブックス ポケット版 特殊戦法シリーズII 矢倉はずしの振飛車"")"	C	四間飛車, 中飛車		1974年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-030-4.htm"",""最強将棋21 四間飛車穴熊の急所"")"	S	四間飛車, 居飛車		2011年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/528/978-4-528-01519-7.htm"",""羽生善治の実戦驚きの一手最強100題 将棋の必勝手筋がグングン身につく！どんどん強くなる！"")"	D		羽生善治	2011年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3725-6.htm"",""KUBO'S ISHIDARYU 久保の石田流"")"	A	中飛車, 振り飛車, 居飛車, 三間飛車		2011年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3842-0.htm"",""SATO Yasumitsu's SHOGI 佐藤康光の矢倉"")"	B	四間飛車, 中飛車, 横歩取り		2011年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1373-0.htm"",""東大将棋ブックス 中飛車道場 第一巻 ゴキゲン中飛車超急戦"")"	A	居飛車, 振り飛車, 中飛車, 横歩取り		2004年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/537/978-4-537-20726-2.htm"",""一人で学べる！強くなる将棋入門 基本の攻め方・囲い方から、強くなるために欠かせないノウハウまでをくわしく紹介！"")"	C	四間飛車, 居飛車, 振り飛車, 角換わり, 横歩取り, 三間飛車, 中飛車		2009年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-009-9.htm"",""王将ブックス ポケット版 ─居飛車シリーズ�V 矢倉戦法(下)"")"	C	居飛車		1966年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3852-9.htm"",""マイコミ将棋文庫SP 将棋・ひと目の必死"")"	S			2011年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0866-4.htm"",""東大将棋ブックス 横歩取り道場 第三巻 4五角戦法"")"	A	横歩取り		2002年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3740-9.htm"",""プロ最前線シリーズ 最新の矢倉3七銀戦法"")"	A	角換わり, 居飛車		2010年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75049-1.htm"",""手筋事典 あなたの将棋が9割変わる！"")"	B			2011年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3741-6.htm"",""マイコミ将棋BOOKS 乱戦！相横歩取り"")"	A	居飛車, 横歩取り		2011年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3747-8.htm"",""速攻!! 次の一手基本集"")"	B	四間飛車	羽生善治	2010年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0818-4.htm"",""東大将棋ブックス 横歩取り道場 第二巻 相横歩取り"")"	A	居飛車, 横歩取り		2002年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3137-7.htm"",""週将ブックス 上級者の力"")"	C		週刊将棋	2009年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3794-2.htm"",""マイコミ将棋BOOKS 豊島将之の定跡研究"")"	B	四間飛車, 角換わり, 中飛車, 横歩取り		2011年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86191/978-4-86191-699-1.htm"",""初段になるための将棋勉強法"")"	A	四間飛車		2011年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/569/978-4-569-79435-8.htm"",""PHP新書(711) コンピュータvsプロ棋士 名人に勝つ日はいつか"")"	B	居飛車		2011年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-2806-3.htm"",""週将ブックス 三段の力"")"	C		週刊将棋	2008年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75133-7.htm"",""将棋最強ブックス 最新版 勝てる石田流"")"	B	四間飛車, 角換わり, 居飛車, 三間飛車		2011年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3756-0.htm"",""マイコミ将棋文庫SP 将棋・ひと目の攻防"")"	A		週刊将棋	2011年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-029-8.htm"",""最強将棋レクチャーブックス(6) 美濃崩し200"")"	S	四間飛車, 居飛車, 振り飛車		2010年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3765-2.htm"",""マイコミ将棋BOOKS よくわかる中飛車"")"	B	居飛車, 振り飛車, 中飛車, 三間飛車		2010年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3333-3.htm"",""将棋世界BOOKS 四段コース問題集 実力養成！"")"	B		将棋世界	2009年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3581-8.htm"",""将棋世界BOOKS 三段コース問題集"")"	B		将棋世界	2010年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3377-7.htm"",""マイコミ将棋BOOKS 遠山流中飛車持久戦ガイド"")"	A	居飛車, 振り飛車, 中飛車		2009年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016187-6.htm"",""NHK将棋シリーズ 阿久津主税の中盤感覚をみがこう"")"	A	居飛車, 振り飛車, 角換わり, 横歩取り, 三間飛車, 中飛車		2010年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/12/978-4-12-004177-8.htm"",""どうして羽生さんだけが、そんなに強いんですか？ 現代将棋と進化の物語"")"	A	居飛車, 角換わり, 横歩取り		2010年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/978-4-415-30687-2.htm"",""9級から初段までの基本詰将棋160題 詰みの基本手筋が見事に身につく！"")"	B			2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/02/978-4-02-100185-7.htm"",""第68期将棋名人戦七番勝負全記録 羽生、2度目の3連覇"")"	C	横歩取り	朝日新聞文化グループ	2010年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3755-3.htm"",""マイコミ将棋BOOKS 相振りレボリューション"")"	A	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2010年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3334-0.htm"",""プロ最前線シリーズ 最新の8五飛戦法"")"	A	四間飛車, 中飛車, 横歩取り		2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3464-4.htm"",""新・東大将棋ブックス 定跡道場 一手損角換わりVS腰掛け銀"")"	B	角換わり, 居飛車		2010年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75125-2.htm"",""将棋パワーアップシリーズ 7手詰将棋"")"	A	角換わり, 居飛車, 横歩取り		2010年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3689-1.htm"",""マイコミ将棋BOOKS 神出鬼没!! 窪田流3三角戦法 対居飛穴編"")"	A	四間飛車, 振り飛車, 中飛車, 居飛車		2010年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3446-0.htm"",""SATO Yasumitsu's SHOGI 佐藤康光の力戦振り飛車"")"	B	四間飛車, 中飛車, 居飛車, 振り飛車		2010年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3699-0.htm"",""将棋連盟文庫オリジナル あっという間の3手詰"")"	B			2010年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-026-7.htm"",""最強将棋21 パワー中飛車で攻めつぶす本"")"	A	居飛車, 中飛車		2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3476-7.htm"",""プロ最前線シリーズ 最新の相掛かり戦法"")"	A	横歩取り		2010年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3698-3.htm"",""マイコミ将棋BOOKS ライバルに勝つ最新定跡"")"	B	居飛車, 角換わり, 中飛車, 横歩取り		2010年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3496-5.htm"",""マイコミ将棋BOOKS 高崎一生の最強向かい飛車"")"	B	居飛車, 振り飛車, 中飛車, 四間飛車		2010年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8062/978-4-8062-0614-9.htm"",""盤上の攻防 将棋 王位戦五十年"")"	C			2010年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016178-4.htm"",""NHK将棋シリーズ 橋本崇載の勝利をつかむ受け"")"	B			2010年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3640-2.htm"",""SATO Yasumitsu's SHOGI 佐藤康光の一手損角換わり"")"	B	角換わり, 居飛車		2010年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3463-7.htm"",""マイコミ将棋BOOKS 対急戦矢倉必勝ガイド"")"	B	四間飛車, 中飛車		2010年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3638-9.htm"",""将棋連盟文庫 羽生の頭脳(5) 横歩取り"")"	A	四間飛車, 横歩取り		2010年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/575/978-4-575-30222-6.htm"",""女流名人・倉敷藤花 里見香奈 好きな道なら楽しく歩け"")"	?			2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3641-9.htm"",""マイコミ将棋BOOKS 遠山流中飛車急戦ガイド"")"	A	居飛車, 振り飛車, 中飛車, 横歩取り		2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/4-415-04633-9.htm"",""十級からの詰将棋"")"	C		中原誠	1983年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/344/978-4-344-97733-4.htm"",""どうぶつしょうぎのほん"")"	B			2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3655-6.htm"",""脳トレ9手詰"")"	B			2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-008-0.htm"",""王将ブックス ポケット版 ─居飛車シリーズ�U 矢倉戦法(上)"")"	C	中飛車, 居飛車		1966年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75048-4.htm"",""将棋 あなたの一手、プロならこう指す！"")"	B	振り飛車, 横歩取り		2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/978-4-262-10136-1.htm"",""1・3・5手実戦型詰将棋 詰みの基本手筋が身につく"")"	B			2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3637-2.htm"",""将棋連盟文庫 羽生の頭脳(4) 角換わり・ヒネリ飛車"")"	A	四間飛車, 角換わり, 居飛車		2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016184-5.htm"",""NHK将棋シリーズ 先崎学のすぐわかる現代将棋"")"	A	居飛車, 振り飛車, 中飛車, 三間飛車		2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75132-0.htm"",""将棋最強ブックス 対居飛車 右四間飛車戦法"")"	C	四間飛車, 角換わり, 居飛車		2010年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-019-6.htm"",""王将ブックス ポケット版 ─振飛車 シリーズ�W 四間飛車戦法"")"	B	四間飛車, 居飛車		1966年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/522/4-522-01232-2.htm"",""将棋入門シリーズ 三手と五手の詰将棋 実力養成104題"")"	C			1977年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-028-1.htm"",""最強将棋21 相振り中飛車で攻めつぶす本"")"	A	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2010年6月	
