書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7450-3.htm"",""マイナビムック 将棋世界Special 将棋囲い事典100+ 基本形から最新形まで超収録 エルモ！新型雁木！羽生流右玉！"")"	S	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2020年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7446-6.htm"",""マイナビ将棋BOOKS 矢倉は終わらない"")"	C	居飛車		2021年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7497-8.htm"",""マイナビ将棋BOOKS 中飛車のポイント すぐ覚えてすぐ勝てる11の戦型"")"	A	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2020年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0610-6.htm"",""東大将棋ブックス 四間飛車道場 第二巻 右4六銀"")"	A	四間飛車, 振り飛車, 居飛車		2001年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7528-9.htm"",""マイナビ将棋BOOKS 黒田尭之の新研究 よみがえる右銀急戦"")"	A	四間飛車, 中飛車, 居飛車, 振り飛車		2020年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7494-7.htm"",""マイナビ将棋BOOKS 1手ずつ解説する 角換わり棒銀"")"	A	四間飛車, 角換わり, 居飛車		2020年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8019/978-4-8019-2461-1.htm"",""山口恵梨子（えりりん）の女流棋士の日々 (1)〜(3)"")"	B+			2020年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7333-9.htm"",""現代将棋を読み解く 7つの理論 最先端の感覚を言語化する──これまでにない論理的将棋観"")"	A	四間飛車, 居飛車, 角換わり, 三間飛車, 振り飛車		2020年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7493-0.htm"",""マイナビ将棋BOOKS 1手ずつ解説する四間飛車 ベーシックな振り飛車を級位者にもわかりやすく！"")"	B+	四間飛車, 居飛車, 振り飛車		2020年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7429-9.htm"",""マイナビ将棋BOOKS 本田奎の相掛かり研究"")"	A			2020年10月	
